TIC ID,TOI,CTOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,Pipeline Signal ID,Source,Detection,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Stellar Metallicity,Stellar Metallicity error,Stellar Mass (M_Sun),Stellar Mass error,Sectors,Comments,Date TOI Alerted (by TESS Project),Date TOI Updated (by TESS Project),Date Modified (by ExoFOP-TESS),depth,sigma,is_below_line
229510866,1181.01,,4,5,5,4,4,4,4,119.4,121.9,317.0,12,16,5,CP,CP,10.079,0.009,1,qlp-s59-ffi,QLP,297.215817,64.354351,-5.676,0.084,0.188,0.066,2459933.703,0.0001437,2.1031942,5e-07,3.957,0.083,7.754813,0.024122,7117.0,22.2169,16.733,0.749521,3212.53,2097.0,513.0,302.819,3.502,6122.0,124.7,3.93,0.08,1.93,0.09,,,1.16,0.164212,"14,15,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59",TOI-1181 b,2019/8/27,2023/2/9,2023/2/25,0.992883,0.0001525298295058,True
38846515,106.01,,5,5,5,5,5,5,5,89.8,109.5,317.0,1,0,3,KP,KP,10.3157,0.006,1,qlp-s63-ffi,SPOC,68.959816,-64.027039,10.845,0.035,-0.499,0.052,2460036.374,0.0002612,2.8493822,8e-07,3.643,0.746,8.772262,0.193144,8047.0,177.876,16.5843,0.770559,2657.93,2000.0,505.0,364.411,2.729,6900.0,,4.438,,1.77,0.08,,,1.44,0.243534,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63",WASP-100 b,2019/5/7,2023/5/11,2023/5/11,0.991953,0.0001654180910987,True
22529346,495.01,,5,5,5,5,5,5,5,324.7,479.1,317.0,0,1,3,KP,KP,10.056,0.006,1,qlp-s61-ffi,SPOC,107.600231,-39.09727,-3.848,0.04,25.607,0.042,2459986.211,0.0001842,1.2749246,3e-07,2.783,0.038,20.494396,0.094326,18699.0,86.8734,22.0328,0.876995,6216.41,2473.0,502.0,269.898,1.571,6459.0,,4.24006,,1.52,0.06,,,1.45,0.25252,"7,33,34,61",WASP-121 b,2019/3/14,2023/4/4,2023/4/7,0.981301,0.0003894838996175,True
387259626,1455.01,,5,5,5,5,3,5,5,508.6,1430.9,317.0,2,2,2,PC,APC,10.1543,0.006,1,qlp-s52-tois,QLP,308.670288,66.440384,33.7,0.039,20.793,0.04,2459852.06,0.000793,3.623143,2.9e-06,3.431,0.375,19.776564,0.986887,18050.0,908.544,34.0676,4.69417,2840.57,2033.0,491.0,245.692,1.151,6458.8,157.5,4.32,0.09,1.35,0.06,,,1.378,0.24071,"15,16,17,18,24,25,52,56",Could be large object if on 387259617;  4.8 sigma odd/even; secondary eclipse consistent with a ultrahot Jupiter; large ; TFOP SB1/APC,2019/11/21,2022/12/5,2022/12/14,0.98195,0.0005596902794272,True
1129033,398.01,,5,5,5,5,5,5,5,332.9,769.9,113.76,1,0,4,KP,KP,9.62713,0.007,1,spoc,UNKNOWN,37.155522,-7.060667,93.889,0.129,-1.567,0.207,2459168.521,5.56e-05,1.36002828,2.08e-07,2.165275076,0.005123441,21.300942,0.050612,19427.69447,46.61427,13.09118126,0.60228205,1343.156827,1544.014699,482.2753,105.166,1.1955,5500.0,,4.48298,,0.933974981,0.0429146,0.07,0.03,0.991,0.120696,"4,31",WASP-77 A b,2019/2/8,2021/12/2,2022/12/14,0.98057230553,0.0004733100255863,True
6893917,5074.01,,5,5,5,5,5,5,5,163.2,256.2,317.0,0,0,0,KP,KP,9.02097,0.006,1,qlp-s46-tois,SPOC/QLP,125.617407,13.735309,-25.428,0.082,-2.014,0.052,2459576.319,0.0001341,3.0801855,1.04e-05,3.233,0.014,10.517272,3.9e-05,9640.0,0.0357111,17.5341,0.599089,2090.4,1883.0,468.0,226.5,2.4795,7511.0,130.4,4.21,0.08,1.7,0.06,,,1.732,0.289663,"44,45,46",KELT-17 b,2022/1/6,2022/3/11,2022/12/14,0.99036,0.0002901943186982,True
86396382,1725.01,,5,5,5,5,5,5,5,243.1,336.9,317.0,25,1,0,KP,KP,11.0967,0.013,1,qlp-s45-tois,SPOC,97.636645,29.672266,-1.58,0.068,-6.958,0.058,2459550.243,0.0001201,1.0914167,5e-07,2.774,0.103,18.715616,0.000201,17090.0,0.185527,23.9976,1.1164,5597.87,2409.0,429.0,427.246,5.9855,6154.0,105.682,4.02046,0.0803026,1.75,0.08,0.21,0.1,1.17,0.160593,"20,43,44,45",WASP-12 b,2020/2/19,2022/3/10,2022/12/14,0.98291,0.000494744375506,True
138168780,1651.01,,5,5,5,5,5,5,5,141.1,208.2,317.0,0,1,2,KP,KP,9.88278,0.006,1,qlp-s60-ffi,SPOC/QLP,94.792955,73.827567,-16.643,0.055,-22.593,0.111,2459962.142,0.0001022,3.7649921,5e-07,2.663,0.016,16.235279,0.098826,14842.0,91.0184,17.7429,0.72972,588.305,1372.0,425.0,235.479,2.418,6724.0,164.0,4.29,0.09,1.42,0.06,,,1.432,0.259705,"19,20,26,40,53,59,60",XO-6 b,2020/1/29,2023/2/27,2023/3/3,0.985158,0.0004783889892654,True
236887394,1465.01,,5,5,5,5,5,5,5,143.2,299.7,105.07,0,0,2,KP,KP,11.8478,0.006,1,qlp-s51-tois,SPOC,303.38187,65.162331,12.636,0.048,58.17,0.041,2459717.423,0.0001255,1.4200248,3e-07,1.431,0.124,26.07514,0.002288,23730.0,2.10693,12.5242,0.748036,382.328,1231.0,424.0,185.615,0.801,4910.0,108.354,4.57248,0.0828462,0.77,0.05,0.2,0.1,0.804,0.0974869,"15,16,17,18,21,24,25,41,48,51,55",Qatar-1 b,2019/12/5,2023/3/15,2023/3/15,0.97627,0.0008545635237836,True
27848472,2131.01,,5,5,5,5,5,5,5,161.4,178.2,317.0,0,1,0,KP,KP,10.1058,0.006,1,spoc-s14-s55-b0A-KP,QLP,278.631741,35.661431,-6.069,0.042,-21.745,0.049,2459771.158,0.000175307,1.846837255,3.5e-07,2.757917145,0.008385539,13.159943,0.038433,12047.59461,35.39704,15.605947,0.80889845,2664.903503,1832.483705,399.30225,231.161,1.6365,6352.0,144.2,4.27,0.09,1.36116004,0.0704774,-0.04,0.1,1.261,0.193608,"26,40,53,54",WASP-3 b,2020/8/7,2023/3/15,2023/3/24,0.98795240539,0.0003891436384782,True
1718201850,1351.01,,5,5,5,5,1,5,5,58.5,216.0,94.3,0,0,0,PC,APC,10.3267,0.02,1,qlp-s59-ffi,QLP,286.746549,71.712195,-42.869,1.094,2.803,1.441,2459931.178,0.0001328,5.9294091,1.2e-06,2.984,0.103,16.054551,0.228914,14678.0,210.815,,,,,399.0,125.308,16.6305,,,,,,,,,,,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,59",variable star; unknown stellar radius; likely too large to be PC and secondary is too large to be PC; TFOP APC/SB1,2019/10/30,2023/2/9,2023/2/25,0.985322,0.0004406243063335,True
388104525,112.01,,5,5,5,5,5,5,5,77.0,179.0,125.23,1,1,3,KP,KP,11.6035,0.006,1,spoc,UNKNOWN,55.933639,-65.19378,21.126,0.032,16.543,0.043,2459307.333,0.000456858,2.499799598,4.42e-07,2.865171019,0.009780298,15.991971,0.041631,14621.20596,38.342907,13.85160928,0.7051293,907.8624196,1399.989438,375.26334,302.448,2.004,5650.0,,4.28867,,1.137320042,0.0577764,,,1.0,0.121147,"1,2,3,4,7,11,27,28,29,30,31,34,37",WASP-119 b,2019/5/7,2021/12/2,2022/12/14,0.98537879404,0.0004918651984359,True
252479260,1771.01,,5,5,5,5,5,5,5,228.2,581.9,112.53,0,0,2,KP,KP,9.007,0.006,1,qlp-s48-tois,SPOC/QLP,155.681459,50.128711,-26.182,0.057,83.727,0.066,2459629.717,8.76e-05,3.2122325,6e-07,2.655,0.023,15.880463,9.1e-05,14520.0,0.0834096,12.9848,0.654241,325.569,1183.0,371.0,81.7647,0.2497,5357.7,112.4,4.37,0.08,1.04,0.05,0.282809,0.0423999,0.93,0.116828,"21,48",HAT-P-22 b,2020/3/12,2022/7/7,2022/12/14,0.98548,0.0004413585650929,True
36734222,656.01,,5,5,5,5,5,5,5,374.5,565.2,114.79,0,0,3,KP,KP,11.1184,0.006,1,spoc,UNKNOWN,154.908187,-9.806443,-42.044,0.069,-38.193,0.066,2459279.797,6.74e-05,0.813473629,2.94e-07,1.230676461,0.004837636,29.292899,0.09197,26619.05497,84.70349,13.16015326,1.2992077,680.8948699,1302.836044,358.0055,86.7467,0.3269,4400.0,,4.64555,,0.757649004,0.0747613,,,0.65,0.082049,"9,35",WASP-43 b,2019/5/7,2021/10/7,2022/12/14,0.97338094503,0.0009236168113494,True
170634116,413.01,,5,5,5,5,5,5,5,138.5,196.5,317.0,0,3,3,KP,KP,9.6757,0.007,1,spoc,UNKNOWN,66.370902,-30.600436,-0.369,0.047,2.623,0.06,2459174.669,0.000262641,3.662391781,6.94e-07,3.766969191,0.008935738,13.386425,0.036697,12253.65825,33.79843,17.28055672,0.84741235,1645.988696,1624.525234,356.4687,246.69,1.807,6600.0,,4.20892,,1.485319972,0.0727839,0.19,0.1,1.54,0.26965,"4,5,31,32",WASP-79 b,2019/6/6,2021/12/2,2022/12/14,0.98774634175,0.0003662760836273,True
16740101,1150.01,,5,5,5,5,5,5,5,341.6,688.0,317.0,1,0,0,KP,KP,7.58204,0.006,1,spoc-s14-s55-b0A-KP,UNKNOWN,307.8599,39.938916,16.728,0.065,21.478,0.07,2458683.458,5.69e-05,1.481090285,3.78e-07,4.158829082,0.005820521,7.395667,0.031139,6788.514539,28.67935,20.34024214,0.522355,33326.73049,3446.021057,355.9918,204.455,1.57,9435.0,174.1,4.11,0.06,2.287729979,0.0585327,,,2.431,0.326593,"14,15,41,55",KELT-9 b,2019/9/3,2023/3/15,2023/3/24,0.993211485461,0.0001259406153184,True
402026209,232.01,,4,5,5,5,5,4,5,154.3,140.1,317.0,1,1,7,KP,KP,11.8295,0.006,1,spoc,UNKNOWN,353.562915,-42.061779,9.874,0.053,-87.518,0.048,2459109.947,9e-05,1.338230712,3.22e-07,2.153389792,0.008862076,29.962116,0.099151,27218.8341,91.3169,14.83782003,0.9224437,1188.622619,1497.547985,321.36127,267.206,3.7205,5436.0,,4.46024,,0.894973993,0.0555528,-0.01,0.1,0.97,0.122722,"2,28,29",WASP-4 b,2018/11/29,2021/10/7,2022/12/14,0.9727811659,0.0010578602211155,True
100100827,185.01,,4,5,5,5,5,4,5,330.4,723.4,129.66,2,5,1,KP,KP,8.8287,0.006,1,qlp,UNKNOWN,24.354462,-45.677794,25.243,0.03,20.597,0.034,2459140.571,4.71e-05,0.9414523,1e-07,2.048,0.128,11.753511,1.2e-05,10767.0,0.0108803,15.4874,0.787181,4845.66,2324.0,284.0,123.483,0.37,6400.0,,4.36583,,1.35,0.07,0.1,0.1,1.2,0.174553,"2,3,29,30",WASP-18 b,2018/12/20,2020/12/21,2022/12/14,0.989233,0.0001966462575786,True
243921117,5801.01,,5,5,5,5,5,5,5,217.3,565.1,95.36,0,0,1,KP,KP,10.3622,0.007,1,spoc-s54-b02,SPOC/QLP,303.1668,-2.144437,-132.759,0.09,-50.429,0.063,2459770.027,0.000120864,3.06781599,2.49e-05,2.110332453,0.010753254,38.160671,0.129028,34536.78482,118.83254,11.79968678,0.353619,72.44198298,744.0760606,216.99556,49.7876,0.11605,3965.0,157.0,4.62,0.01,0.636572003,0.0188828,,,0.616961,0.0202632,54,WASP-80 b,2022/9/22,2022/9/22,2022/12/14,0.96546321518,0.0014494241102401,True
